p cnf 54 586
1 2 3 4 0
27 29 30 31 33 0
27 29 30 32 33 0
27 29 31 32 33 0
27 30 31 32 33 0
28 29 30 31 32 0
28 29 30 31 33 0
28 29 30 32 33 0
28 29 31 32 33 0
28 30 31 32 33 0
29 30 31 32 33 0
34 35 36 37 38 0
34 35 36 37 39 0
34 35 36 37 40 0
34 35 36 37 41 0
34 35 36 38 39 0
34 35 36 38 40 0
34 35 36 38 41 0
34 35 36 39 40 0
34 35 36 39 41 0
34 35 36 40 41 0
34 35 37 38 39 0
34 35 37 38 40 0
34 35 37 38 41 0
34 35 37 39 40 0
34 35 37 39 41 0
34 35 37 40 41 0
34 35 38 39 40 0
34 35 38 39 41 0
34 35 38 40 41 0
34 35 39 40 41 0
34 36 37 38 39 0
34 36 37 38 40 0
34 36 37 38 41 0
34 36 37 39 40 0
34 36 37 39 41 0
34 36 37 40 41 0
34 36 38 39 40 0
34 36 38 39 41 0
34 36 38 40 41 0
34 36 39 40 41 0
34 37 38 39 40 0
34 37 38 39 41 0
34 37 38 40 41 0
34 37 39 40 41 0
34 38 39 40 41 0
35 36 37 38 39 0
35 36 37 38 40 0
35 36 37 38 41 0
35 36 37 39 40 0
35 36 37 39 41 0
35 36 37 40 41 0
35 36 38 39 40 0
35 36 38 39 41 0
35 36 38 40 41 0
35 36 39 40 41 0
35 37 38 39 40 0
35 37 38 39 41 0
35 37 38 40 41 0
35 37 39 40 41 0
35 38 39 40 41 0
36 37 38 39 40 0
36 37 38 39 41 0
36 37 38 40 41 0
36 37 39 40 41 0
36 38 39 40 41 0
37 38 39 40 41 0
42 43 44 45 0
42 43 44 46 0
42 43 44 47 0
42 43 45 46 0
42 43 45 47 0
42 43 46 47 0
42 44 45 46 0
42 44 45 47 0
42 44 46 47 0
42 45 46 47 0
42 43 44 45 46 0
42 43 44 45 47 0
42 43 44 46 47 0
42 43 45 46 47 0
42 44 45 46 47 0
43 44 45 46 0
43 44 45 47 0
43 44 46 47 0
43 45 46 47 0
44 45 46 47 0
43 44 45 46 47 0
48 49 50 51 0
48 49 50 52 0
48 49 50 53 0
48 49 50 54 0
48 49 50 51 52 0
48 49 50 51 53 0
48 49 50 51 54 0
48 49 50 52 53 0
48 49 50 52 54 0
48 49 50 53 54 0
48 49 51 52 0
48 49 51 53 0
48 49 51 54 0
48 49 52 53 0
48 49 52 54 0
48 49 53 54 0
48 49 51 52 53 0
48 49 51 52 54 0
48 49 51 53 54 0
48 49 52 53 54 0
48 50 51 52 0
48 50 51 53 0
48 50 51 54 0
48 50 52 53 0
48 50 52 54 0
48 50 53 54 0
48 50 51 52 53 0
48 50 51 52 54 0
48 50 51 53 54 0
48 50 52 53 54 0
48 51 52 53 0
48 51 52 54 0
48 51 53 54 0
48 52 53 54 0
48 51 52 53 54 0
49 50 51 52 0
49 50 51 53 0
49 50 51 54 0
49 50 52 53 0
49 50 52 54 0
49 50 53 54 0
49 50 51 52 53 0
49 50 51 52 54 0
49 50 51 53 54 0
49 50 52 53 54 0
49 51 52 53 0
49 51 52 54 0
49 51 53 54 0
49 52 53 54 0
49 51 52 53 54 0
50 51 52 53 0
50 51 52 54 0
50 51 53 54 0
50 52 53 54 0
50 51 52 53 54 0
51 52 53 54 0
-6 -14 -21 -27 0
-6 -14 -21 -34 0
-6 -14 -21 0
-6 -14 -21 -48 0
-6 -14 -27 -34 0
-6 -14 -27 0
-6 -14 -27 -48 0
-6 -14 -34 0
-6 -14 -34 -48 0
-6 -14 -48 0
-6 -21 -27 -34 0
-6 -21 -27 0
-6 -21 -27 -48 0
-6 -21 -34 0
-6 -21 -34 -48 0
-6 -21 -48 0
-6 -27 -34 0
-6 -27 -34 -48 0
-6 -27 -48 0
-6 -34 -48 0
-14 -21 -27 -34 0
-14 -21 -27 0
-14 -21 -27 -48 0
-14 -21 -34 0
-14 -21 -34 -48 0
-14 -21 -48 0
-14 -27 -34 0
-14 -27 -34 -48 0
-14 -27 -48 0
-14 -34 -48 0
-21 -27 -34 0
-21 -27 -34 -48 0
-21 -27 -48 0
-21 -34 -48 0
-27 -34 -48 0
-6 -14 -21 -27 -34 0
-6 -14 -21 -27 0
-6 -14 -21 -27 -48 0
-6 -14 -21 -34 0
-6 -14 -21 -34 -48 0
-6 -14 -21 -48 0
-6 -14 -27 -34 0
-6 -14 -27 -34 -48 0
-6 -14 -27 -48 0
-6 -14 -34 -48 0
-6 -21 -27 -34 0
-6 -21 -27 -34 -48 0
-6 -21 -27 -48 0
-6 -21 -34 -48 0
-6 -27 -34 -48 0
-14 -21 -27 -34 0
-14 -21 -27 -34 -48 0
-14 -21 -27 -48 0
-14 -21 -34 -48 0
-14 -27 -34 -48 0
-21 -27 -34 -48 0
-7 -15 -22 0
-7 -15 -22 -35 0
-7 -15 -22 -42 0
-7 -15 -22 -49 0
-7 -15 -35 0
-7 -15 -42 0
-7 -15 -49 0
-7 -15 -35 -42 0
-7 -15 -35 -49 0
-7 -15 -42 -49 0
-7 -22 -35 0
-7 -22 -42 0
-7 -22 -49 0
-7 -22 -35 -42 0
-7 -22 -35 -49 0
-7 -22 -42 -49 0
-7 -35 -42 0
-7 -35 -49 0
-7 -42 -49 0
-7 -35 -42 -49 0
-15 -22 -35 0
-15 -22 -42 0
-15 -22 -49 0
-15 -22 -35 -42 0
-15 -22 -35 -49 0
-15 -22 -42 -49 0
-15 -35 -42 0
-15 -35 -49 0
-15 -42 -49 0
-15 -35 -42 -49 0
-22 -35 -42 0
-22 -35 -49 0
-22 -42 -49 0
-22 -35 -42 -49 0
-35 -42 -49 0
-7 -15 -22 -35 0
-7 -15 -22 -42 0
-7 -15 -22 -49 0
-7 -15 -22 -35 -42 0
-7 -15 -22 -35 -49 0
-7 -15 -22 -42 -49 0
-7 -15 -35 -42 0
-7 -15 -35 -49 0
-7 -15 -42 -49 0
-7 -15 -35 -42 -49 0
-7 -22 -35 -42 0
-7 -22 -35 -49 0
-7 -22 -42 -49 0
-7 -22 -35 -42 -49 0
-7 -35 -42 -49 0
-15 -22 -35 -42 0
-15 -22 -35 -49 0
-15 -22 -42 -49 0
-15 -22 -35 -42 -49 0
-15 -35 -42 -49 0
-22 -35 -42 -49 0
-1 -8 -16 -23 -28 0
-1 -8 -16 -23 -36 0
-1 -8 -16 -23 -50 0
-1 -8 -16 -28 -36 0
-1 -8 -16 -28 -50 0
-1 -8 -16 -36 -50 0
-1 -8 -23 -28 -36 0
-1 -8 -23 -28 -50 0
-1 -8 -23 -36 -50 0
-1 -8 -28 -36 -50 0
-1 -16 -23 -28 -36 0
-1 -16 -23 -28 -50 0
-1 -16 -23 -36 -50 0
-1 -16 -28 -36 -50 0
-1 -23 -28 -36 -50 0
-8 -16 -23 -28 -36 0
-8 -16 -23 -28 -50 0
-8 -16 -23 -36 -50 0
-8 -16 -28 -36 -50 0
-8 -23 -28 -36 -50 0
-16 -23 -28 -36 -50 0
-2 -9 -17 -24 -29 0
-2 -9 -17 -24 -37 0
-2 -9 -17 -24 -43 0
-2 -9 -17 -29 -37 0
-2 -9 -17 -29 -43 0
-2 -9 -17 -37 -43 0
-2 -9 -24 -29 -37 0
-2 -9 -24 -29 -43 0
-2 -9 -24 -37 -43 0
-2 -9 -29 -37 -43 0
-2 -17 -24 -29 -37 0
-2 -17 -24 -29 -43 0
-2 -17 -24 -37 -43 0
-2 -17 -29 -37 -43 0
-2 -24 -29 -37 -43 0
-9 -17 -24 -29 -37 0
-9 -17 -24 -29 -43 0
-9 -17 -24 -37 -43 0
-9 -17 -29 -37 -43 0
-9 -24 -29 -37 -43 0
-17 -24 -29 -37 -43 0
-3 -10 -18 -30 0
-3 -10 -18 -38 0
-3 -10 -18 -44 0
-3 -10 -18 -51 0
-3 -10 -18 -30 -38 0
-3 -10 -18 -30 -44 0
-3 -10 -18 -30 -51 0
-3 -10 -18 -38 -44 0
-3 -10 -18 -38 -51 0
-3 -10 -18 -44 -51 0
-3 -10 -30 -38 0
-3 -10 -30 -44 0
-3 -10 -30 -51 0
-3 -10 -38 -44 0
-3 -10 -38 -51 0
-3 -10 -44 -51 0
-3 -10 -30 -38 -44 0
-3 -10 -30 -38 -51 0
-3 -10 -30 -44 -51 0
-3 -10 -38 -44 -51 0
-3 -18 -30 -38 0
-3 -18 -30 -44 0
-3 -18 -30 -51 0
-3 -18 -38 -44 0
-3 -18 -38 -51 0
-3 -18 -44 -51 0
-3 -18 -30 -38 -44 0
-3 -18 -30 -38 -51 0
-3 -18 -30 -44 -51 0
-3 -18 -38 -44 -51 0
-3 -30 -38 -44 0
-3 -30 -38 -51 0
-3 -30 -44 -51 0
-3 -38 -44 -51 0
-3 -30 -38 -44 -51 0
-10 -18 -30 -38 0
-10 -18 -30 -44 0
-10 -18 -30 -51 0
-10 -18 -38 -44 0
-10 -18 -38 -51 0
-10 -18 -44 -51 0
-10 -18 -30 -38 -44 0
-10 -18 -30 -38 -51 0
-10 -18 -30 -44 -51 0
-10 -18 -38 -44 -51 0
-10 -30 -38 -44 0
-10 -30 -38 -51 0
-10 -30 -44 -51 0
-10 -38 -44 -51 0
-10 -30 -38 -44 -51 0
-18 -30 -38 -44 0
-18 -30 -38 -51 0
-18 -30 -44 -51 0
-18 -38 -44 -51 0
-18 -30 -38 -44 -51 0
-30 -38 -44 -51 0
-4 -11 -31 0
-4 -11 -39 0
-4 -11 -45 0
-4 -11 -52 0
-4 -11 -31 -39 0
-4 -11 -31 -45 0
-4 -11 -31 -52 0
-4 -11 -39 -45 0
-4 -11 -39 -52 0
-4 -11 -45 -52 0
-4 -11 -31 -39 0
-4 -11 -31 -45 0
-4 -11 -31 -52 0
-4 -11 -39 -45 0
-4 -11 -39 -52 0
-4 -11 -45 -52 0
-4 -11 -31 -39 -45 0
-4 -11 -31 -39 -52 0
-4 -11 -31 -45 -52 0
-4 -11 -39 -45 -52 0
-4 -31 -39 0
-4 -31 -45 0
-4 -31 -52 0
-4 -39 -45 0
-4 -39 -52 0
-4 -45 -52 0
-4 -31 -39 -45 0
-4 -31 -39 -52 0
-4 -31 -45 -52 0
-4 -39 -45 -52 0
-4 -31 -39 -45 0
-4 -31 -39 -52 0
-4 -31 -45 -52 0
-4 -39 -45 -52 0
-4 -31 -39 -45 -52 0
-11 -31 -39 0
-11 -31 -45 0
-11 -31 -52 0
-11 -39 -45 0
-11 -39 -52 0
-11 -45 -52 0
-11 -31 -39 -45 0
-11 -31 -39 -52 0
-11 -31 -45 -52 0
-11 -39 -45 -52 0
-11 -31 -39 -45 0
-11 -31 -39 -52 0
-11 -31 -45 -52 0
-11 -39 -45 -52 0
-11 -31 -39 -45 -52 0
-31 -39 -45 0
-31 -39 -52 0
-31 -45 -52 0
-39 -45 -52 0
-31 -39 -45 -52 0
-31 -39 -45 -52 0
-12 -19 -25 -32 -40 0
-12 -19 -25 -32 -46 0
-12 -19 -25 -32 -53 0
-12 -19 -25 -40 -46 0
-12 -19 -25 -40 -53 0
-12 -19 -25 -46 -53 0
-12 -19 -32 -40 -46 0
-12 -19 -32 -40 -53 0
-12 -19 -32 -46 -53 0
-12 -19 -40 -46 -53 0
-12 -25 -32 -40 -46 0
-12 -25 -32 -40 -53 0
-12 -25 -32 -46 -53 0
-12 -25 -40 -46 -53 0
-12 -32 -40 -46 -53 0
-19 -25 -32 -40 -46 0
-19 -25 -32 -40 -53 0
-19 -25 -32 -46 -53 0
-19 -25 -40 -46 -53 0
-19 -32 -40 -46 -53 0
-25 -32 -40 -46 -53 0
-5 -13 -20 -26 -33 0
-5 -13 -20 -26 -41 0
-5 -13 -20 -26 -47 0
-5 -13 -20 -26 -54 0
-5 -13 -20 -33 -41 0
-5 -13 -20 -33 -47 0
-5 -13 -20 -33 -54 0
-5 -13 -20 -41 -47 0
-5 -13 -20 -41 -54 0
-5 -13 -20 -47 -54 0
-5 -13 -26 -33 -41 0
-5 -13 -26 -33 -47 0
-5 -13 -26 -33 -54 0
-5 -13 -26 -41 -47 0
-5 -13 -26 -41 -54 0
-5 -13 -26 -47 -54 0
-5 -13 -33 -41 -47 0
-5 -13 -33 -41 -54 0
-5 -13 -33 -47 -54 0
-5 -13 -41 -47 -54 0
-5 -20 -26 -33 -41 0
-5 -20 -26 -33 -47 0
-5 -20 -26 -33 -54 0
-5 -20 -26 -41 -47 0
-5 -20 -26 -41 -54 0
-5 -20 -26 -47 -54 0
-5 -20 -33 -41 -47 0
-5 -20 -33 -41 -54 0
-5 -20 -33 -47 -54 0
-5 -20 -41 -47 -54 0
-5 -26 -33 -41 -47 0
-5 -26 -33 -41 -54 0
-5 -26 -33 -47 -54 0
-5 -26 -41 -47 -54 0
-5 -33 -41 -47 -54 0
-13 -20 -26 -33 -41 0
-13 -20 -26 -33 -47 0
-13 -20 -26 -33 -54 0
-13 -20 -26 -41 -47 0
-13 -20 -26 -41 -54 0
-13 -20 -26 -47 -54 0
-13 -20 -33 -41 -47 0
-13 -20 -33 -41 -54 0
-13 -20 -33 -47 -54 0
-13 -20 -41 -47 -54 0
-13 -26 -33 -41 -47 0
-13 -26 -33 -41 -54 0
-13 -26 -33 -47 -54 0
-13 -26 -41 -47 -54 0
-13 -33 -41 -47 -54 0
-20 -26 -33 -41 -47 0
-20 -26 -33 -41 -54 0
-20 -26 -33 -47 -54 0
-20 -26 -41 -47 -54 0
-20 -33 -41 -47 -54 0
-26 -33 -41 -47 -54 0
