p cnf 47 867
-1 -7 -12 -36 -42 0
-1 -7 -18 -24 -30 0
-1 -7 -18 -24 -36 0
-1 -7 -18 -24 -42 0
-1 -7 -18 -30 -36 0
-1 -7 -18 -30 -42 0
-1 -7 -18 -36 -42 0
-1 -7 -24 -30 -36 0
-1 -7 -24 -30 -42 0
-1 -7 -24 -36 -42 0
-1 -7 -30 -36 -42 0
-1 -12 -18 -24 -30 0
-1 -12 -18 -24 -36 0
-1 -12 -18 -24 -42 0
-1 -12 -18 -30 -36 0
-1 -12 -18 -30 -42 0
-1 -12 -18 -36 -42 0
-1 -12 -24 -30 -36 0
-1 -12 -24 -30 -42 0
-1 -12 -24 -36 -42 0
-1 -12 -30 -36 -42 0
-1 -18 -24 -30 -36 0
-1 -18 -24 -30 -42 0
-1 -18 -24 -36 -42 0
-1 -18 -30 -36 -42 0
-1 -24 -30 -36 -42 0
-7 -12 -18 -24 -30 0
-7 -12 -18 -24 -36 0
-7 -12 -18 -24 -42 0
-7 -12 -18 -30 -36 0
-7 -12 -18 -30 -42 0
-7 -12 -18 -36 -42 0
-7 -12 -24 -30 -36 0
-7 -12 -24 -30 -42 0
-7 -12 -24 -36 -42 0
-7 -12 -30 -36 -42 0
-7 -18 -24 -30 -36 0
-7 -18 -24 -30 -42 0
-7 -18 -24 -36 -42 0
-7 -18 -30 -36 -42 0
-7 -24 -30 -36 -42 0
-12 -18 -24 -30 -36 0
-12 -18 -24 -30 -42 0
-12 -18 -24 -36 -42 0
-12 -18 -30 -36 -42 0
-12 -24 -30 -36 -42 0
-18 -24 -30 -36 -42 0
1 7 12 18 24 0
1 7 12 18 30 0
1 7 12 18 36 0
1 7 12 18 42 0
1 7 12 24 30 0
1 7 12 24 36 0
1 7 12 24 42 0
1 7 12 30 36 0
1 7 12 30 42 0
1 7 12 36 42 0
1 7 18 24 30 0
1 7 18 24 36 0
1 7 18 24 42 0
1 7 18 30 36 0
1 7 18 30 42 0
1 7 18 36 42 0
1 7 24 30 36 0
1 7 24 30 42 0
1 7 24 36 42 0
1 7 30 36 42 0
1 12 18 24 30 0
1 12 18 24 36 0
1 12 18 24 42 0
1 12 18 30 36 0
1 12 18 30 42 0
1 12 18 36 42 0
1 12 24 30 36 0
1 12 24 30 42 0
1 12 24 36 42 0
1 12 30 36 42 0
1 18 24 30 36 0
1 18 24 30 42 0
1 18 24 36 42 0
1 18 30 36 42 0
1 24 30 36 42 0
7 12 18 24 30 0
7 12 18 24 36 0
7 12 18 24 42 0
7 12 18 30 36 0
7 12 18 30 42 0
7 12 18 36 42 0
7 12 24 30 36 0
7 12 24 30 42 0
7 12 24 36 42 0
7 12 30 36 42 0
7 18 24 30 36 0
7 18 24 30 42 0
7 18 24 36 42 0
7 18 30 36 42 0
7 24 30 36 42 0
12 18 24 30 36 0
12 18 24 30 42 0
12 18 24 36 42 0
12 18 30 36 42 0
12 24 30 36 42 0
18 24 30 36 42 0
-2 -8 -13 -19 -25 0
-2 -8 -13 -19 -31 0
-2 -8 -13 -19 -37 0
-2 -8 -13 -19 -43 0
-2 -8 -13 -25 -31 0
-2 -8 -13 -25 -37 0
-2 -8 -13 -25 -43 0
-2 -8 -13 -31 -37 0
-2 -8 -13 -31 -43 0
-2 -8 -13 -37 -43 0
-2 -8 -19 -25 -31 0
-2 -8 -19 -25 -37 0
-2 -8 -19 -25 -43 0
-2 -8 -19 -31 -37 0
-2 -8 -19 -31 -43 0
-2 -8 -19 -37 -43 0
-2 -8 -25 -31 -37 0
-2 -8 -25 -31 -43 0
-2 -8 -25 -37 -43 0
-2 -8 -31 -37 -43 0
-2 -13 -19 -25 -31 0
-2 -13 -19 -25 -37 0
-2 -13 -19 -25 -43 0
-2 -13 -19 -31 -37 0
-2 -13 -19 -31 -43 0
-2 -13 -19 -37 -43 0
-2 -13 -25 -31 -37 0
-2 -13 -25 -31 -43 0
-2 -13 -25 -37 -43 0
-2 -13 -31 -37 -43 0
-2 -19 -25 -31 -37 0
-2 -19 -25 -31 -43 0
-2 -19 -25 -37 -43 0
-2 -19 -31 -37 -43 0
-2 -25 -31 -37 -43 0
-8 -13 -19 -25 -31 0
-8 -13 -19 -25 -37 0
-8 -13 -19 -25 -43 0
-8 -13 -19 -31 -37 0
-8 -13 -19 -31 -43 0
-8 -13 -19 -37 -43 0
-8 -13 -25 -31 -37 0
-8 -13 -25 -31 -43 0
-8 -13 -25 -37 -43 0
-8 -13 -31 -37 -43 0
-8 -19 -25 -31 -37 0
-8 -19 -25 -31 -43 0
-8 -19 -25 -37 -43 0
-8 -19 -31 -37 -43 0
-8 -25 -31 -37 -43 0
-13 -19 -25 -31 -37 0
-13 -19 -25 -31 -43 0
-13 -19 -25 -37 -43 0
-13 -19 -31 -37 -43 0
-13 -25 -31 -37 -43 0
-19 -25 -31 -37 -43 0
2 8 13 19 25 0
2 8 13 19 31 0
2 8 13 19 37 0
2 8 13 19 43 0
2 8 13 25 31 0
2 8 13 25 37 0
2 8 13 25 43 0
2 8 13 31 37 0
2 8 13 31 43 0
2 8 13 37 43 0
2 8 19 25 31 0
2 8 19 25 37 0
2 8 19 25 43 0
2 8 19 31 37 0
2 8 19 31 43 0
2 8 19 37 43 0
2 8 25 31 37 0
2 8 25 31 43 0
2 8 25 37 43 0
2 8 31 37 43 0
2 13 19 25 31 0
2 13 19 25 37 0
2 13 19 25 43 0
2 13 19 31 37 0
2 13 19 31 43 0
2 13 19 37 43 0
2 13 25 31 37 0
2 13 25 31 43 0
2 13 25 37 43 0
2 13 31 37 43 0
2 19 25 31 37 0
2 19 25 31 43 0
2 19 25 37 43 0
2 19 31 37 43 0
2 25 31 37 43 0
8 13 19 25 31 0
8 13 19 25 37 0
8 13 19 25 43 0
8 13 19 31 37 0
8 13 19 31 43 0
8 13 19 37 43 0
8 13 25 31 37 0
8 13 25 31 43 0
8 13 25 37 43 0
8 13 31 37 43 0
8 19 25 31 37 0
8 19 25 31 43 0
8 19 25 37 43 0
8 19 31 37 43 0
8 25 31 37 43 0
13 19 25 31 37 0
13 19 25 31 43 0
13 19 25 37 43 0
13 19 31 37 43 0
13 25 31 37 43 0
19 25 31 37 43 0
-3 -9 -14 -20 -26 0
-3 -9 -14 -20 -32 0
-3 -9 -14 -20 -38 0
-3 -9 -14 -20 -44 0
-3 -9 -14 -26 -32 0
-3 -9 -14 -26 -38 0
-3 -9 -14 -26 -44 0
-3 -9 -14 -32 -38 0
-3 -9 -14 -32 -44 0
-3 -9 -14 -38 -44 0
-3 -9 -20 -26 -32 0
-3 -9 -20 -26 -38 0
-3 -9 -20 -26 -44 0
-3 -9 -20 -32 -38 0
-3 -9 -20 -32 -44 0
-3 -9 -20 -38 -44 0
-3 -9 -26 -32 -38 0
-3 -9 -26 -32 -44 0
-3 -9 -26 -38 -44 0
-3 -9 -32 -38 -44 0
-3 -14 -20 -26 -32 0
-3 -14 -20 -26 -38 0
-3 -14 -20 -26 -44 0
-3 -14 -20 -32 -38 0
-3 -14 -20 -32 -44 0
-3 -14 -20 -38 -44 0
-3 -14 -26 -32 -38 0
-3 -14 -26 -32 -44 0
-3 -14 -26 -38 -44 0
-3 -14 -32 -38 -44 0
-3 -20 -26 -32 -38 0
-3 -20 -26 -32 -44 0
-3 -20 -26 -38 -44 0
-3 -20 -32 -38 -44 0
-3 -26 -32 -38 -44 0
-9 -14 -20 -26 -32 0
-9 -14 -20 -26 -38 0
-9 -14 -20 -26 -44 0
-9 -14 -20 -32 -38 0
-9 -14 -20 -32 -44 0
-9 -14 -20 -38 -44 0
-9 -14 -26 -32 -38 0
-9 -14 -26 -32 -44 0
-9 -14 -26 -38 -44 0
-9 -14 -32 -38 -44 0
-9 -20 -26 -32 -38 0
-9 -20 -26 -32 -44 0
-9 -20 -26 -38 -44 0
-9 -20 -32 -38 -44 0
-9 -26 -32 -38 -44 0
-14 -20 -26 -32 -38 0
-14 -20 -26 -32 -44 0
-14 -20 -26 -38 -44 0
-14 -20 -32 -38 -44 0
-14 -26 -32 -38 -44 0
-20 -26 -32 -38 -44 0
3 9 14 20 26 0
3 9 14 20 32 0
3 9 14 20 38 0
3 9 14 20 44 0
3 9 14 26 32 0
3 9 14 26 38 0
3 9 14 26 44 0
3 9 14 32 38 0
3 9 14 32 44 0
3 9 14 38 44 0
3 9 20 26 32 0
3 9 20 26 38 0
3 9 20 26 44 0
3 9 20 32 38 0
3 9 20 32 44 0
3 9 20 38 44 0
3 9 26 32 38 0
3 9 26 32 44 0
3 9 26 38 44 0
3 9 32 38 44 0
3 14 20 26 32 0
3 14 20 26 38 0
3 14 20 26 44 0
3 14 20 32 38 0
3 14 20 32 44 0
3 14 20 38 44 0
3 14 26 32 38 0
3 14 26 32 44 0
3 14 26 38 44 0
3 14 32 38 44 0
3 20 26 32 38 0
3 20 26 32 44 0
3 20 26 38 44 0
3 20 32 38 44 0
3 26 32 38 44 0
9 14 20 26 32 0
9 14 20 26 38 0
9 14 20 26 44 0
9 14 20 32 38 0
9 14 20 32 44 0
9 14 20 38 44 0
9 14 26 32 38 0
9 14 26 32 44 0
9 14 26 38 44 0
9 14 32 38 44 0
9 20 26 32 38 0
9 20 26 32 44 0
9 20 26 38 44 0
9 20 32 38 44 0
9 26 32 38 44 0
14 20 26 32 38 0
14 20 26 32 44 0
14 20 26 38 44 0
14 20 32 38 44 0
14 26 32 38 44 0
20 26 32 38 44 0
-4 -10 -15 -21 -27 0
-4 -10 -15 -21 -33 0
-4 -10 -15 -21 -39 0
-4 -10 -15 -21 -45 0
-4 -10 -15 -27 -33 0
-4 -10 -15 -27 -39 0
-4 -10 -15 -27 -45 0
-4 -10 -15 -33 -39 0
-4 -10 -15 -33 -45 0
-4 -10 -15 -39 -45 0
-4 -10 -21 -27 -33 0
-4 -10 -21 -27 -39 0
-4 -10 -21 -27 -45 0
-4 -10 -21 -33 -39 0
-4 -10 -21 -33 -45 0
-4 -10 -21 -39 -45 0
-4 -10 -27 -33 -39 0
-4 -10 -27 -33 -45 0
-4 -10 -27 -39 -45 0
-4 -10 -33 -39 -45 0
-4 -15 -21 -27 -33 0
-4 -15 -21 -27 -39 0
-4 -15 -21 -27 -45 0
-4 -15 -21 -33 -39 0
-4 -15 -21 -33 -45 0
-4 -15 -21 -39 -45 0
-4 -15 -27 -33 -39 0
-4 -15 -27 -33 -45 0
-4 -15 -27 -39 -45 0
-4 -15 -33 -39 -45 0
-4 -21 -27 -33 -39 0
-4 -21 -27 -33 -45 0
-4 -21 -27 -39 -45 0
-4 -21 -33 -39 -45 0
-4 -27 -33 -39 -45 0
-10 -15 -21 -27 -33 0
-10 -15 -21 -27 -39 0
-10 -15 -21 -27 -45 0
-10 -15 -21 -33 -39 0
-10 -15 -21 -33 -45 0
-10 -15 -21 -39 -45 0
-10 -15 -27 -33 -39 0
-10 -15 -27 -33 -45 0
-10 -15 -27 -39 -45 0
-10 -15 -33 -39 -45 0
-10 -21 -27 -33 -39 0
-10 -21 -27 -33 -45 0
-10 -21 -27 -39 -45 0
-10 -21 -33 -39 -45 0
-10 -27 -33 -39 -45 0
-15 -21 -27 -33 -39 0
-15 -21 -27 -33 -45 0
-15 -21 -27 -39 -45 0
-15 -21 -33 -39 -45 0
-15 -27 -33 -39 -45 0
-21 -27 -33 -39 -45 0
4 10 15 21 27 0
4 10 15 21 33 0
4 10 15 21 39 0
4 10 15 21 45 0
4 10 15 27 33 0
4 10 15 27 39 0
4 10 15 27 45 0
4 10 15 33 39 0
4 10 15 33 45 0
4 10 15 39 45 0
4 10 21 27 33 0
4 10 21 27 39 0
4 10 21 27 45 0
4 10 21 33 39 0
4 10 21 33 45 0
4 10 21 39 45 0
4 10 27 33 39 0
4 10 27 33 45 0
4 10 27 39 45 0
4 10 33 39 45 0
4 15 21 27 33 0
4 15 21 27 39 0
4 15 21 27 45 0
4 15 21 33 39 0
4 15 21 33 45 0
4 15 21 39 45 0
4 15 27 33 39 0
4 15 27 33 45 0
4 15 27 39 45 0
4 15 33 39 45 0
4 21 27 33 39 0
4 21 27 33 45 0
4 21 27 39 45 0
4 21 33 39 45 0
4 27 33 39 45 0
10 15 21 27 33 0
10 15 21 27 39 0
10 15 21 27 45 0
10 15 21 33 39 0
10 15 21 33 45 0
10 15 21 39 45 0
10 15 27 33 39 0
10 15 27 33 45 0
10 15 27 39 45 0
10 15 33 39 45 0
10 21 27 33 39 0
10 21 27 33 45 0
10 21 27 39 45 0
10 21 33 39 45 0
10 27 33 39 45 0
15 21 27 33 39 0
15 21 27 33 45 0
15 21 27 39 45 0
15 21 33 39 45 0
15 27 33 39 45 0
21 27 33 39 45 0
-5 -11 -16 -22 -28 0
-5 -11 -16 -22 -34 0
-5 -11 -16 -22 -40 0
-5 -11 -16 -22 -46 0
-5 -11 -16 -28 -34 0
-5 -11 -16 -28 -40 0
-5 -11 -16 -28 -46 0
-5 -11 -16 -34 -40 0
-5 -11 -16 -34 -46 0
-5 -11 -16 -40 -46 0
-5 -11 -22 -28 -34 0
-5 -11 -22 -28 -40 0
-5 -11 -22 -28 -46 0
-5 -11 -22 -34 -40 0
-5 -11 -22 -34 -46 0
-5 -11 -22 -40 -46 0
-5 -11 -28 -34 -40 0
-5 -11 -28 -34 -46 0
-5 -11 -28 -40 -46 0
-5 -11 -34 -40 -46 0
-5 -16 -22 -28 -34 0
-5 -16 -22 -28 -40 0
-5 -16 -22 -28 -46 0
-5 -16 -22 -34 -40 0
-5 -16 -22 -34 -46 0
-5 -16 -22 -40 -46 0
-5 -16 -28 -34 -40 0
-5 -16 -28 -34 -46 0
-5 -16 -28 -40 -46 0
-5 -16 -34 -40 -46 0
-5 -22 -28 -34 -40 0
-5 -22 -28 -34 -46 0
-5 -22 -28 -40 -46 0
-5 -22 -34 -40 -46 0
-5 -28 -34 -40 -46 0
-11 -16 -22 -28 -34 0
-11 -16 -22 -28 -40 0
-11 -16 -22 -28 -46 0
-11 -16 -22 -34 -40 0
-11 -16 -22 -34 -46 0
-11 -16 -22 -40 -46 0
-11 -16 -28 -34 -40 0
-11 -16 -28 -34 -46 0
-11 -16 -28 -40 -46 0
-11 -16 -34 -40 -46 0
-11 -22 -28 -34 -40 0
-11 -22 -28 -34 -46 0
-11 -22 -28 -40 -46 0
-11 -22 -34 -40 -46 0
-11 -28 -34 -40 -46 0
-16 -22 -28 -34 -40 0
-16 -22 -28 -34 -46 0
-16 -22 -28 -40 -46 0
-16 -22 -34 -40 -46 0
-16 -28 -34 -40 -46 0
-22 -28 -34 -40 -46 0
5 11 16 22 28 0
5 11 16 22 34 0
5 11 16 22 40 0
5 11 16 22 46 0
5 11 16 28 34 0
5 11 16 28 40 0
5 11 16 28 46 0
5 11 16 34 40 0
5 11 16 34 46 0
5 11 16 40 46 0
5 11 22 28 34 0
5 11 22 28 40 0
5 11 22 28 46 0
5 11 22 34 40 0
5 11 22 34 46 0
5 11 22 40 46 0
5 11 28 34 40 0
5 11 28 34 46 0
5 11 28 40 46 0
5 11 34 40 46 0
5 16 22 28 34 0
5 16 22 28 40 0
5 16 22 28 46 0
5 16 22 34 40 0
5 16 22 34 46 0
5 16 22 40 46 0
5 16 28 34 40 0
5 16 28 34 46 0
5 16 28 40 46 0
5 16 34 40 46 0
5 22 28 34 40 0
5 22 28 34 46 0
5 22 28 40 46 0
5 22 34 40 46 0
5 28 34 40 46 0
11 16 22 28 34 0
11 16 22 28 40 0
11 16 22 28 46 0
11 16 22 34 40 0
11 16 22 34 46 0
11 16 22 40 46 0
11 16 28 34 40 0
11 16 28 34 46 0
11 16 28 40 46 0
11 16 34 40 46 0
11 22 28 34 40 0
11 22 28 34 46 0
11 22 28 40 46 0
11 22 34 40 46 0
11 28 34 40 46 0
16 22 28 34 40 0
16 22 28 34 46 0
16 22 28 40 46 0
16 22 34 40 46 0
16 28 34 40 46 0
22 28 34 40 46 0
-6 -17 -23 -29 -35 0
-6 -17 -23 -29 -41 0
-6 -17 -23 -29 -47 0
-6 -17 -23 -35 -41 0
-6 -17 -23 -35 -47 0
-6 -17 -23 -41 -47 0
-6 -17 -29 -35 -41 0
-6 -17 -29 -35 -47 0
-6 -17 -29 -41 -47 0
-6 -17 -35 -41 -47 0
-6 -23 -29 -35 -41 0
-6 -23 -29 -35 -47 0
-6 -23 -29 -41 -47 0
-6 -23 -35 -41 -47 0
-6 -29 -35 -41 -47 0
-17 -23 -29 -35 -41 0
-17 -23 -29 -35 -47 0
-17 -23 -29 -41 -47 0
-17 -23 -35 -41 -47 0
-17 -29 -35 -41 -47 0
-23 -29 -35 -41 -47 0
6 17 23 29 0
6 17 23 35 0
6 17 23 41 0
6 17 23 47 0
6 17 29 35 0
6 17 29 41 0
6 17 29 47 0
6 17 35 41 0
6 17 35 47 0
6 17 41 47 0
6 23 29 35 0
6 23 29 41 0
6 23 29 47 0
6 23 35 41 0
6 23 35 47 0
6 23 41 47 0
6 29 35 41 0
6 29 35 47 0
6 29 41 47 0
6 35 41 47 0
6 17 23 29 35 0
6 17 23 29 41 0
6 17 23 29 47 0
6 17 23 35 41 0
6 17 23 35 47 0
6 17 23 41 47 0
6 17 29 35 41 0
6 17 29 35 47 0
6 17 29 41 47 0
6 17 35 41 47 0
6 23 29 35 41 0
6 23 29 35 47 0
6 23 29 41 47 0
6 23 35 41 47 0
6 29 35 41 47 0
17 23 29 35 0
17 23 29 41 0
17 23 29 47 0
17 23 35 41 0
17 23 35 47 0
17 23 41 47 0
17 29 35 41 0
17 29 35 47 0
17 29 41 47 0
17 35 41 47 0
23 29 35 41 0
23 29 35 47 0
23 29 41 47 0
23 35 41 47 0
29 35 41 47 0
17 23 29 35 41 0
17 23 29 35 47 0
17 23 29 41 47 0
17 23 35 41 47 0
17 29 35 41 47 0
23 29 35 41 47 0
