p cnf 39 577
1 11 17 23 35 0
1 11 17 29 35 0
1 11 23 29 35 0
1 17 23 29 35 0
11 17 23 29 35 0
-2 -7 -12 -18 -24 0
-2 -7 -12 -18 -30 0
-2 -7 -12 -18 -36 0
-2 -7 -12 -24 -30 0
-2 -7 -12 -24 -36 0
-2 -7 -12 -30 -36 0
-2 -7 -18 -24 -30 0
-2 -7 -18 -24 -36 0
-2 -7 -18 -30 -36 0
-2 -7 -24 -30 -36 0
-2 -12 -18 -24 -30 0
-2 -12 -18 -24 -36 0
-2 -12 -18 -30 -36 0
-2 -12 -24 -30 -36 0
-2 -18 -24 -30 -36 0
-7 -12 -18 -24 -30 0
-7 -12 -18 -24 -36 0
-7 -12 -18 -30 -36 0
-7 -12 -24 -30 -36 0
-7 -18 -24 -30 -36 0
-12 -18 -24 -30 -36 0
2 7 12 18 0
2 7 12 18 24 0
2 7 12 18 30 0
2 7 12 18 36 0
2 7 12 24 0
2 7 12 30 0
2 7 12 36 0
2 7 12 24 30 0
2 7 12 24 36 0
2 7 12 30 36 0
2 7 18 24 0
2 7 18 30 0
2 7 18 36 0
2 7 18 24 30 0
2 7 18 24 36 0
2 7 18 30 36 0
2 7 24 30 0
2 7 24 36 0
2 7 30 36 0
2 7 24 30 36 0
2 12 18 24 0
2 12 18 30 0
2 12 18 36 0
2 12 18 24 30 0
2 12 18 24 36 0
2 12 18 30 36 0
2 12 24 30 0
2 12 24 36 0
2 12 30 36 0
2 12 24 30 36 0
2 18 24 30 0
2 18 24 36 0
2 18 30 36 0
2 18 24 30 36 0
2 24 30 36 0
7 12 18 24 0
7 12 18 30 0
7 12 18 36 0
7 12 18 24 30 0
7 12 18 24 36 0
7 12 18 30 36 0
7 12 24 30 0
7 12 24 36 0
7 12 30 36 0
7 12 24 30 36 0
7 18 24 30 0
7 18 24 36 0
7 18 30 36 0
7 18 24 30 36 0
7 24 30 36 0
12 18 24 30 0
12 18 24 36 0
12 18 30 36 0
12 18 24 30 36 0
12 24 30 36 0
18 24 30 36 0
-3 -8 -13 -19 0
-3 -8 -13 -19 -25 0
-3 -8 -13 -19 -31 0
-3 -8 -13 -19 -37 0
-3 -8 -13 -25 0
-3 -8 -13 -31 0
-3 -8 -13 -37 0
-3 -8 -13 -25 -31 0
-3 -8 -13 -25 -37 0
-3 -8 -13 -31 -37 0
-3 -8 -19 -25 0
-3 -8 -19 -31 0
-3 -8 -19 -37 0
-3 -8 -19 -25 -31 0
-3 -8 -19 -25 -37 0
-3 -8 -19 -31 -37 0
-3 -8 -25 -31 0
-3 -8 -25 -37 0
-3 -8 -31 -37 0
-3 -8 -25 -31 -37 0
-3 -13 -19 -25 0
-3 -13 -19 -31 0
-3 -13 -19 -37 0
-3 -13 -19 -25 -31 0
-3 -13 -19 -25 -37 0
-3 -13 -19 -31 -37 0
-3 -13 -25 -31 0
-3 -13 -25 -37 0
-3 -13 -31 -37 0
-3 -13 -25 -31 -37 0
-3 -19 -25 -31 0
-3 -19 -25 -37 0
-3 -19 -31 -37 0
-3 -19 -25 -31 -37 0
-3 -25 -31 -37 0
-8 -13 -19 -25 0
-8 -13 -19 -31 0
-8 -13 -19 -37 0
-8 -13 -19 -25 -31 0
-8 -13 -19 -25 -37 0
-8 -13 -19 -31 -37 0
-8 -13 -25 -31 0
-8 -13 -25 -37 0
-8 -13 -31 -37 0
-8 -13 -25 -31 -37 0
-8 -19 -25 -31 0
-8 -19 -25 -37 0
-8 -19 -31 -37 0
-8 -19 -25 -31 -37 0
-8 -25 -31 -37 0
-13 -19 -25 -31 0
-13 -19 -25 -37 0
-13 -19 -31 -37 0
-13 -19 -25 -31 -37 0
-13 -25 -31 -37 0
-19 -25 -31 -37 0
3 8 13 19 25 0
3 8 13 19 31 0
3 8 13 19 37 0
3 8 13 25 31 0
3 8 13 25 37 0
3 8 13 31 37 0
3 8 19 25 31 0
3 8 19 25 37 0
3 8 19 31 37 0
3 8 25 31 37 0
3 13 19 25 31 0
3 13 19 25 37 0
3 13 19 31 37 0
3 13 25 31 37 0
3 19 25 31 37 0
8 13 19 25 31 0
8 13 19 25 37 0
8 13 19 31 37 0
8 13 25 31 37 0
8 19 25 31 37 0
13 19 25 31 37 0
-4 -9 -14 -20 -26 0
-4 -9 -14 -20 -32 0
-4 -9 -14 -20 0
-4 -9 -14 -26 -32 0
-4 -9 -14 -26 0
-4 -9 -14 -32 0
-4 -9 -20 -26 -32 0
-4 -9 -20 -26 0
-4 -9 -20 -32 0
-4 -9 -26 -32 0
-4 -14 -20 -26 -32 0
-4 -14 -20 -26 0
-4 -14 -20 -32 0
-4 -14 -26 -32 0
-4 -20 -26 -32 0
-9 -14 -20 -26 -32 0
-9 -14 -20 -26 0
-9 -14 -20 -32 0
-9 -14 -26 -32 0
-9 -20 -26 -32 0
-14 -20 -26 -32 0
4 9 14 20 0
4 9 14 20 26 0
4 9 14 20 32 0
4 9 14 26 0
4 9 14 32 0
4 9 14 26 32 0
4 9 20 26 0
4 9 20 32 0
4 9 20 26 32 0
4 9 26 32 0
4 14 20 26 0
4 14 20 32 0
4 14 20 26 32 0
4 14 26 32 0
4 20 26 32 0
9 14 20 26 0
9 14 20 32 0
9 14 20 26 32 0
9 14 26 32 0
9 20 26 32 0
14 20 26 32 0
-5 -10 -15 -21 0
-5 -10 -15 -21 -27 0
-5 -10 -15 -21 -33 0
-5 -10 -15 -21 -38 0
-5 -10 -15 -27 0
-5 -10 -15 -33 0
-5 -10 -15 -38 0
-5 -10 -15 -27 -33 0
-5 -10 -15 -27 -38 0
-5 -10 -15 -33 -38 0
-5 -10 -21 -27 0
-5 -10 -21 -33 0
-5 -10 -21 -38 0
-5 -10 -21 -27 -33 0
-5 -10 -21 -27 -38 0
-5 -10 -21 -33 -38 0
-5 -10 -27 -33 0
-5 -10 -27 -38 0
-5 -10 -33 -38 0
-5 -10 -27 -33 -38 0
-5 -15 -21 -27 0
-5 -15 -21 -33 0
-5 -15 -21 -38 0
-5 -15 -21 -27 -33 0
-5 -15 -21 -27 -38 0
-5 -15 -21 -33 -38 0
-5 -15 -27 -33 0
-5 -15 -27 -38 0
-5 -15 -33 -38 0
-5 -15 -27 -33 -38 0
-5 -21 -27 -33 0
-5 -21 -27 -38 0
-5 -21 -33 -38 0
-5 -21 -27 -33 -38 0
-5 -27 -33 -38 0
-10 -15 -21 -27 0
-10 -15 -21 -33 0
-10 -15 -21 -38 0
-10 -15 -21 -27 -33 0
-10 -15 -21 -27 -38 0
-10 -15 -21 -33 -38 0
-10 -15 -27 -33 0
-10 -15 -27 -38 0
-10 -15 -33 -38 0
-10 -15 -27 -33 -38 0
-10 -21 -27 -33 0
-10 -21 -27 -38 0
-10 -21 -33 -38 0
-10 -21 -27 -33 -38 0
-10 -27 -33 -38 0
-15 -21 -27 -33 0
-15 -21 -27 -38 0
-15 -21 -33 -38 0
-15 -21 -27 -33 -38 0
-15 -27 -33 -38 0
-21 -27 -33 -38 0
5 10 15 21 27 0
5 10 15 21 33 0
5 10 15 21 38 0
5 10 15 27 33 0
5 10 15 27 38 0
5 10 15 33 38 0
5 10 21 27 33 0
5 10 21 27 38 0
5 10 21 33 38 0
5 10 27 33 38 0
5 15 21 27 33 0
5 15 21 27 38 0
5 15 21 33 38 0
5 15 27 33 38 0
5 21 27 33 38 0
10 15 21 27 33 0
10 15 21 27 38 0
10 15 21 33 38 0
10 15 27 33 38 0
10 21 27 33 38 0
15 21 27 33 38 0
-6 -16 -22 -28 -34 0
-6 -16 -22 -28 -39 0
-6 -16 -22 -34 -39 0
-6 -16 -28 -34 -39 0
-6 -22 -28 -34 -39 0
-16 -22 -28 -34 -39 0
6 16 22 0
6 16 22 28 0
6 16 22 34 0
6 16 22 39 0
6 16 28 0
6 16 34 0
6 16 39 0
6 16 28 34 0
6 16 28 39 0
6 16 34 39 0
6 22 28 0
6 22 34 0
6 22 39 0
6 22 28 34 0
6 22 28 39 0
6 22 34 39 0
6 28 34 0
6 28 39 0
6 34 39 0
6 28 34 39 0
6 16 22 28 0
6 16 22 34 0
6 16 22 39 0
6 16 22 28 34 0
6 16 22 28 39 0
6 16 22 34 39 0
6 16 28 34 0
6 16 28 39 0
6 16 34 39 0
6 16 28 34 39 0
6 22 28 34 0
6 22 28 39 0
6 22 34 39 0
6 22 28 34 39 0
6 28 34 39 0
16 22 28 0
16 22 34 0
16 22 39 0
16 22 28 34 0
16 22 28 39 0
16 22 34 39 0
16 28 34 0
16 28 39 0
16 34 39 0
16 28 34 39 0
22 28 34 0
22 28 39 0
22 34 39 0
22 28 34 39 0
28 34 39 0
16 22 28 34 0
16 22 28 39 0
16 22 34 39 0
16 22 28 34 39 0
16 28 34 39 0
22 28 34 39 0
